budget_checkpoints,policy,n_cases,planning_total_gap,runtime_total_gap,mean_gap_per_request,physical_hit_tokens,executable_hit_tokens,executable_prefix_ratio,estimated_recovery_cost_ms,mean_request_e2e_ms,selected_checkpoint_ids,per_workflow_runtime_gap
1,FlowState,7,36864,36864,5266.285714285715,102400,65536,0.64,1687.2676024213433,290.28720651487157,W1_PARENT,"{""W1"": 0, ""W2"": 16384, ""W3"": 8192, ""W4"": 12288}"
1,Global-LRU,7,90112,90112,12873.142857142857,102400,12288,0.12,4150.0963845755905,561.9276919668274,W4_PARENT,"{""W1"": 65536, ""W2"": 16384, ""W3"": 8192, ""W4"": 0}"
1,Equal-Share,7,36864,36864,5266.285714285715,102400,65536,0.64,1687.2676024213433,222.01566940306552,W1_PARENT,"{""W1"": 0, ""W2"": 16384, ""W3"": 8192, ""W4"": 12288}"
1,Recovery-Only,7,36864,36864,5266.285714285715,102400,65536,0.64,1687.2676024213433,221.90743308913494,W1_PARENT,"{""W1"": 0, ""W2"": 16384, ""W3"": 8192, ""W4"": 12288}"
