category,snapshot_id,X,N,K,budget_ratio,pending_continuations,marconi_selection,flowstate_selection,per_pending_comparison,marconi_total_recovery_cost_ms,flowstate_total_recovery_cost_ms,absolute_reduction_ms,relative_reduction,relative_reduction_percent,mechanisms,mechanism_explanation,source,policy_rerun
25% budget,c128-small-claude-round-28601,2,7,1,0.25,"[{""T"": 21504, ""continuation_id"": ""claude:claude:2a70b8da-34ac-e10e-e7ea-f3182a42d061:run:000001:pending:round:00000001"", ""exact_parent_checkpoint_ids"": [""claude:claude:2a70b8da-34ac-e10e-e7ea-f3182a42d061:run:000001:checkpoint:round:00000001""], ""lineage_path"": [""step:000000"", ""step:000001""], ""workflow_id"": ""claude:claude:2a70b8da-34ac-e10e-e7ea-f3182a42d061:run:000001""}, {""T"": 108164, ""continuation_id"": ""claude:claude:3cc6b26c-1e50-f02a-0195-a321ef73822e:run:000005:pending:round:00000057"", ""exact_parent_checkpoint_ids"": [""claude:claude:3cc6b26c-1e50-f02a-0195-a321ef73822e:run:000005:checkpoint:round:00000057""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003"", ""step:000004""], ""workflow_id"": ""claude:claude:3cc6b26c-1e50-f02a-0195-a321ef73822e:run:000005""}]","[""claude:claude:2a70b8da-34ac-e10e-e7ea-f3182a42d061:run:000001:checkpoint:round:00000000""]","[""claude:claude:3cc6b26c-1e50-f02a-0195-a321ef73822e:run:000005:checkpoint:round:00000057""]","[{""T"": 21504, ""continuation_id"": ""claude:claude:2a70b8da-34ac-e10e-e7ea-f3182a42d061:run:000001:pending:round:00000001"", ""flowstate_E"": 0, ""flowstate_G"": 21504, ""flowstate_Phi_ms"": 878.080701666, ""marconi_E"": 20899, ""marconi_G"": 605, ""marconi_Phi_ms"": 26.58769379027237}, {""T"": 108164, ""continuation_id"": ""claude:claude:3cc6b26c-1e50-f02a-0195-a321ef73822e:run:000005:pending:round:00000057"", ""flowstate_E"": 108164, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 0, ""marconi_G"": 108164, ""marconi_Phi_ms"": 6113.123238096251}]",6139.710931886523,878.080701666,5261.630230220523,0.8569833805846302,85.69833805846302,"[""exact-parent coverage"", ""deeper compatible checkpoint""]",冻结 selection 显示 FlowState 多覆盖 1 个 exact-parent demand，让 1 个 pending 获得更深 E，同时有 1 个 pending 的 E 较低；这是结构性描述，不是因果结论。,Step 10E 冻结 formal policy results,False
50% budget,c128-medium-claude-round-18027,4,12,2,0.5,"[{""T"": 28284, ""continuation_id"": ""claude:claude:3697c055-75a9-15b7-76f9-e3c7ea118318:run:000001:pending:round:00000001"", ""exact_parent_checkpoint_ids"": [""claude:claude:3697c055-75a9-15b7-76f9-e3c7ea118318:run:000001:checkpoint:round:00000001""], ""lineage_path"": [""step:000000"", ""step:000001""], ""workflow_id"": ""claude:claude:3697c055-75a9-15b7-76f9-e3c7ea118318:run:000001""}, {""T"": 90767, ""continuation_id"": ""claude:claude:4c425f1b-635e-78d1-9649-140186150b7a:run:000010:pending:round:00000067"", ""exact_parent_checkpoint_ids"": [""claude:claude:4c425f1b-635e-78d1-9649-140186150b7a:run:000010:checkpoint:round:00000067""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003"", ""step:000004"", ""step:000005"", ""step:000006""], ""workflow_id"": ""claude:claude:4c425f1b-635e-78d1-9649-140186150b7a:run:000010""}, {""T"": 118093, ""continuation_id"": ""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012:pending:round:00000095"", ""exact_parent_checkpoint_ids"": [""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012:checkpoint:round:00000095""], ""lineage_path"": [""step:000000""], ""workflow_id"": ""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012""}, {""T"": 25750, ""continuation_id"": ""claude:claude:cb3adab6-0c60-380d-3403-c4a7905333ea:run:000001:pending:round:00000001"", ""exact_parent_checkpoint_ids"": [""claude:claude:cb3adab6-0c60-380d-3403-c4a7905333ea:run:000001:checkpoint:round:00000001""], ""lineage_path"": [""step:000000"", ""step:000001""], ""workflow_id"": ""claude:claude:cb3adab6-0c60-380d-3403-c4a7905333ea:run:000001""}]","[""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012:checkpoint:round:00000095"", ""claude:claude:3697c055-75a9-15b7-76f9-e3c7ea118318:run:000001:checkpoint:round:00000000""]","[""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012:checkpoint:round:00000095"", ""claude:claude:4c425f1b-635e-78d1-9649-140186150b7a:run:000010:checkpoint:round:00000067""]","[{""T"": 28284, ""continuation_id"": ""claude:claude:3697c055-75a9-15b7-76f9-e3c7ea118318:run:000001:pending:round:00000001"", ""flowstate_E"": 0, ""flowstate_G"": 28284, ""flowstate_Phi_ms"": 1189.636818890919, ""marconi_E"": 26144, ""marconi_G"": 2140, ""marconi_Phi_ms"": 98.3436511789479}, {""T"": 90767, ""continuation_id"": ""claude:claude:4c425f1b-635e-78d1-9649-140186150b7a:run:000010:pending:round:00000067"", ""flowstate_E"": 90767, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 0, ""marconi_G"": 90767, ""marconi_Phi_ms"": 4844.111881894895}, {""T"": 118093, ""continuation_id"": ""claude:claude:c839369a-dcd7-6cda-5f47-2b33963bc82d:run:000012:pending:round:00000095"", ""flowstate_E"": 118093, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 118093, ""marconi_G"": 0, ""marconi_Phi_ms"": 0.0}, {""T"": 25750, ""continuation_id"": ""claude:claude:cb3adab6-0c60-380d-3403-c4a7905333ea:run:000001:pending:round:00000001"", ""flowstate_E"": 0, ""flowstate_G"": 25750, ""flowstate_Phi_ms"": 1071.2466295262577, ""marconi_E"": 0, ""marconi_G"": 25750, ""marconi_Phi_ms"": 1071.2466295262577}]",6013.702162600101,2260.8834484171766,3752.818714182924,0.6240446587997209,62.40446587997209,"[""exact-parent coverage"", ""deeper compatible checkpoint""]",冻结 selection 显示 FlowState 多覆盖 1 个 exact-parent demand，让 1 个 pending 获得更深 E，同时有 1 个 pending 的 E 较低；这是结构性描述，不是因果结论。,Step 10E 冻结 formal policy results,False
75% budget,c128-medium-claude-round-67076,4,24,3,0.75,"[{""T"": 18941, ""continuation_id"": ""claude:claude:05f731c7-2612-7142-5a1a-4f90101cfb4e:run:000001:pending:round:00000010"", ""exact_parent_checkpoint_ids"": [""claude:claude:05f731c7-2612-7142-5a1a-4f90101cfb4e:run:000001:checkpoint:round:00000010""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003"", ""step:000004"", ""step:000005"", ""step:000006"", ""step:000007"", ""step:000008"", ""step:000009"", ""step:000010""], ""workflow_id"": ""claude:claude:05f731c7-2612-7142-5a1a-4f90101cfb4e:run:000001""}, {""T"": 13839, ""continuation_id"": ""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001:pending:round:00000003"", ""exact_parent_checkpoint_ids"": [""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001:checkpoint:round:00000003""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003""], ""workflow_id"": ""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001""}, {""T"": 32361, ""continuation_id"": ""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004:pending:round:00000015"", ""exact_parent_checkpoint_ids"": [""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004:checkpoint:round:00000015""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003"", ""step:000004"", ""step:000005"", ""step:000006""], ""workflow_id"": ""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004""}, {""T"": 30428, ""continuation_id"": ""claude:claude:a8e981b6-991f-311e-6e2d-453adda9f0de:run:000041:pending:round:00000255"", ""exact_parent_checkpoint_ids"": [""claude:claude:a8e981b6-991f-311e-6e2d-453adda9f0de:run:000041:checkpoint:round:00000255""], ""lineage_path"": [""step:000000"", ""step:000001""], ""workflow_id"": ""claude:claude:a8e981b6-991f-311e-6e2d-453adda9f0de:run:000041""}]","[""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004:checkpoint:round:00000009"", ""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001:checkpoint:round:00000000"", ""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001:checkpoint:round:00000003""]","[""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004:checkpoint:round:00000015"", ""claude:claude:a8e981b6-991f-311e-6e2d-453adda9f0de:run:000041:checkpoint:round:00000255"", ""claude:claude:05f731c7-2612-7142-5a1a-4f90101cfb4e:run:000001:checkpoint:round:00000010""]","[{""T"": 18941, ""continuation_id"": ""claude:claude:05f731c7-2612-7142-5a1a-4f90101cfb4e:run:000001:pending:round:00000010"", ""flowstate_E"": 18941, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 0, ""marconi_G"": 18941, ""marconi_Phi_ms"": 764.6389253063458}, {""T"": 13839, ""continuation_id"": ""claude:claude:418037d3-5ff1-71e4-2f2f-1ee569fae523:run:000001:pending:round:00000003"", ""flowstate_E"": 0, ""flowstate_G"": 13839, ""flowstate_Phi_ms"": 545.8952335981961, ""marconi_E"": 13839, ""marconi_G"": 0, ""marconi_Phi_ms"": 0.0}, {""T"": 32361, ""continuation_id"": ""claude:claude:70a26fe3-480b-7608-82fa-33ebaef9a10c:run:000004:pending:round:00000015"", ""flowstate_E"": 32361, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 27178, ""marconi_G"": 5183, ""marconi_Phi_ms"": 242.80731113912924}, {""T"": 30428, ""continuation_id"": ""claude:claude:a8e981b6-991f-311e-6e2d-453adda9f0de:run:000041:pending:round:00000255"", ""flowstate_E"": 30428, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 0, ""marconi_G"": 30428, ""marconi_Phi_ms"": 1291.6211169776225}]",2299.0673534230973,545.8952335981961,1753.172119824901,0.7625579638693886,76.25579638693885,"[""exact-parent coverage"", ""deeper compatible checkpoint"", ""redundant checkpoint avoidance""]",冻结 selection 显示 FlowState 多覆盖 3 个 exact-parent demand，让 3 个 pending 获得更深 E，少保留 1 个无 E 增量的冗余 checkpoint，同时有 1 个 pending 的 E 较低；这是结构性描述，不是因果结论。,Step 10E 冻结 formal policy results,False
X>=4 constrained budget,c128-medium-claude-round-94304,4,16,1,0.25,"[{""T"": 31246, ""continuation_id"": ""claude:claude:13843e27-0b10-704c-5850-125d97ce1a13:run:000003:pending:round:00000009"", ""exact_parent_checkpoint_ids"": [""claude:claude:13843e27-0b10-704c-5850-125d97ce1a13:run:000003:checkpoint:round:00000009""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002"", ""step:000003""], ""workflow_id"": ""claude:claude:13843e27-0b10-704c-5850-125d97ce1a13:run:000003""}, {""T"": 21859, ""continuation_id"": ""claude:claude:688e4151-3679-7ee2-226e-a08de7748fbb:run:000001:pending:round:00000001"", ""exact_parent_checkpoint_ids"": [""claude:claude:688e4151-3679-7ee2-226e-a08de7748fbb:run:000001:checkpoint:round:00000001""], ""lineage_path"": [""step:000000"", ""step:000001""], ""workflow_id"": ""claude:claude:688e4151-3679-7ee2-226e-a08de7748fbb:run:000001""}, {""T"": 26985, ""continuation_id"": ""claude:claude:6cfa7c68-1703-5556-f6ba-03a378008fdc:run:000004:pending:round:00000010"", ""exact_parent_checkpoint_ids"": [""claude:claude:6cfa7c68-1703-5556-f6ba-03a378008fdc:run:000004:checkpoint:round:00000010""], ""lineage_path"": [""step:000000"", ""step:000001"", ""step:000002""], ""workflow_id"": ""claude:claude:6cfa7c68-1703-5556-f6ba-03a378008fdc:run:000004""}, {""T"": 18797, ""continuation_id"": ""claude:claude:a6ef802a-b8c5-31e2-813f-7b9d81661e2a:run:000001:pending:round:00000000"", ""exact_parent_checkpoint_ids"": [""claude:claude:a6ef802a-b8c5-31e2-813f-7b9d81661e2a:run:000001:checkpoint:round:00000000""], ""lineage_path"": [""step:000000""], ""workflow_id"": ""claude:claude:a6ef802a-b8c5-31e2-813f-7b9d81661e2a:run:000001""}]","[""claude:claude:a6ef802a-b8c5-31e2-813f-7b9d81661e2a:run:000001:checkpoint:round:00000000""]","[""claude:claude:13843e27-0b10-704c-5850-125d97ce1a13:run:000003:checkpoint:round:00000009""]","[{""T"": 31246, ""continuation_id"": ""claude:claude:13843e27-0b10-704c-5850-125d97ce1a13:run:000003:pending:round:00000009"", ""flowstate_E"": 31246, ""flowstate_G"": 0, ""flowstate_Phi_ms"": 0.0, ""marconi_E"": 0, ""marconi_G"": 31246, ""marconi_Phi_ms"": 1330.96967251833}, {""T"": 21859, ""continuation_id"": ""claude:claude:688e4151-3679-7ee2-226e-a08de7748fbb:run:000001:pending:round:00000001"", ""flowstate_E"": 0, ""flowstate_G"": 21859, ""flowstate_Phi_ms"": 893.9809483966076, ""marconi_E"": 0, ""marconi_G"": 21859, ""marconi_Phi_ms"": 893.9809483966076}, {""T"": 26985, ""continuation_id"": ""claude:claude:6cfa7c68-1703-5556-f6ba-03a378008fdc:run:000004:pending:round:00000010"", ""flowstate_E"": 0, ""flowstate_G"": 26985, ""flowstate_Phi_ms"": 1128.656321302119, ""marconi_E"": 0, ""marconi_G"": 26985, ""marconi_Phi_ms"": 1128.656321302119}, {""T"": 18797, ""continuation_id"": ""claude:claude:a6ef802a-b8c5-31e2-813f-7b9d81661e2a:run:000001:pending:round:00000000"", ""flowstate_E"": 0, ""flowstate_G"": 18797, ""flowstate_Phi_ms"": 758.3358422865841, ""marconi_E"": 18797, ""marconi_G"": 0, ""marconi_Phi_ms"": 0.0}]",3353.6069422170567,2780.973111985311,572.6338302317458,0.17075162357970902,17.075162357970903,"[""exact-parent coverage"", ""deeper compatible checkpoint""]",冻结 selection 显示 FlowState 多覆盖 1 个 exact-parent demand，让 1 个 pending 获得更深 E，同时有 1 个 pending 的 E 较低；这是结构性描述，不是因果结论。,Step 10E 冻结 formal policy results,False
