case_id,target_gap,target_H,target_E,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
profile128k_measured_r02_p02_g65536,65536,131072,65536,2,False,2,38,PASS,True,True,131072,65536,65536,4683.112788,4684.211032,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_110592"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 65536, ""cached_tokens_details"": {""device"": 65536, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 4.681846688967198, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p02_g65536_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752001.9469888, ""weight_version"": ""default""}"
profile128k_measured_r02_p03_g0,0,131072,131072,2,False,3,39,PASS,True,True,131072,131072,0,40.819317,41.793382,131136,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 131072, ""cached_tokens_details"": {""device"": 131072, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.04000658798031509, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p03_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752010.7555356, ""weight_version"": ""default""}"
profile128k_measured_r02_p04_g98304,98304,131072,32768,2,False,4,40,PASS,True,True,131072,32768,98304,6494.993954,6496.048802,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_122880"", ""PROFILE_CLEANUP_77824"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 32768, ""cached_tokens_details"": {""device"": 32768, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 6.494008733890951, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p04_g98304_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752027.6107874, ""weight_version"": ""default""}"
profile128k_measured_r02_p05_g16384,16384,131072,114688,2,False,5,41,PASS,True,True,131072,114688,16384,1306.008884,1307.013612,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 114688, ""cached_tokens_details"": {""device"": 114688, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.3050596329849213, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p05_g16384_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752038.2930431, ""weight_version"": ""default""}"
profile128k_measured_r02_p06_g49152,49152,131072,81920,2,False,6,42,PASS,True,True,131072,81920,49152,3662.495547,3663.355964,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_126976"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 3.661042690044269, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p06_g49152_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752051.600879, ""weight_version"": ""default""}"
profile128k_measured_r02_p07_g32768,32768,131072,98304,2,False,7,43,PASS,True,True,131072,98304,32768,2498.206269,2499.227212,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 98304, ""cached_tokens_details"": {""device"": 98304, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 2.497179287020117, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p07_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752063.7054489, ""weight_version"": ""default""}"
profile128k_measured_r02_p08_g4096,4096,131072,126976,2,False,8,44,PASS,True,True,131072,126976,4096,344.380993,345.415851,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 126976, ""cached_tokens_details"": {""device"": 126976, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.3433185718022287, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r02_p08_g4096_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752073.5562015, ""weight_version"": ""default""}"
profile128k_measured_r03_p00_g131072,131072,131072,0,3,False,0,45,PASS,True,True,131072,0,131072,7971.119228,7972.221324,131136,,,True,True,[],"[""PROFILE_CLEANUP_45056"", ""PROFILE_CLEANUP_90112"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 0, ""cached_tokens_details"": null, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 7.969380391063169, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r03_p00_g131072_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752091.1267395, ""weight_version"": ""default""}"
profile128k_measured_r03_p01_g65536,65536,131072,65536,3,False,1,46,PASS,True,True,131072,65536,65536,4712.115028,4712.977738,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_110592"", ""PROFILE_DEEP""]","{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 65536, ""cached_tokens_details"": {""device"": 65536, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 4.710787371965125, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r03_p01_g65536_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752105.887478, ""weight_version"": ""default""}"
profile128k_measured_r03_p02_g0,0,131072,131072,3,False,2,47,PASS,True,True,131072,131072,0,41.569454,42.62824,131136,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 260266, ""before_available_size"": 260266}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 131072, ""cached_tokens_details"": {""device"": 131072, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.040667684050276875, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d1_profile128k_measured_r03_p02_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787752115.2843447, ""weight_version"": ""default""}"
