gap_tokens,range,measured_phi_ms,old_phi_ms,absolute_error_ms,relative_error_percent,validated_prediction
0,既有校准区间,0.0,0.0,0.0,,True
4096,既有校准区间,301.42361124999996,178.72895603068173,122.69465521931824,40.70505781232765,True
8192,既有校准区间,623.8771425,378.5894282627851,245.2877142372149,39.31666950552126,True
16384,既有校准区间,1256.9613004166665,772.4913060665131,484.46999435015346,38.54295229213165,True
32768,既有校准区间,2442.3597972499997,1499.5078251231462,942.8519721268535,38.60413904570766,True
49152,旧模型外推区间,3594.017091166667,2256.7110152462137,1337.3060759204532,37.20922972812979,False
65536,旧模型外推区间,4634.219929916667,3008.9480203282847,1625.2719095883822,35.07110008086319,False
98304,旧模型外推区间,6467.0878240833335,4513.422030492427,1953.665793590906,30.209359246916133,False
131072,旧模型外推区间,7931.97532225,6017.896040656569,1914.079281593431,24.13118049200485,False
