PID                 PPID                USER                STARTED             COMMAND
2586128             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586130             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586132             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586134             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586136             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586138             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586140             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586142             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586144             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586146             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586148             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586150             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586152             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586154             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586156             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586158             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586160             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2586162             2586010             root                Wed                 Sep 2 20:37:22 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=214 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
