gap_tokens,sample_count,weighted_request_count,ttft_weighted_mean_ms,ttft_weighted_median_ms,ttft_weighted_p95_ms
0,300,3820.0,39.801623748952885,39.646963,42.392374
4096,80,1120.0,171.38923137321427,171.009437,176.019984
8192,160,1890.0,330.5204846428572,329.041301,342.114236
16384,70,510.0,665.7983432588235,660.08927,741.484615
32768,80,660.0,1545.7335314363636,1545.11181,1570.573544
