PID                 PPID                USER                STARTED             COMMAND
2526738             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526741             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526742             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526744             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526746             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526748             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526750             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526752             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526754             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526757             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526759             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526760             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526762             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526764             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526767             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526769             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526770             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
2526772             2526608             root                Wed                 Sep 2 16:24:21 2026 /usr/bin/python3 /usr/local/lib/python3.12/dist-packages/torch/_inductor/compile_worker/__main__.py --pickler=torch._inductor.compile_worker.subproc_pool.SubprocPickler --kind=fork --workers=32 --parent=215 --read-fd=94 --write-fd=97 --torch-key=y2ybbusAwpnY1dg5alZo6xRju+EVvTumvrsLGU9fCcw=
