budget_ratio,baseline,defined_snapshot_count,mean_relative_improvement,median_relative_improvement,p25_relative_improvement,p75_relative_improvement,p90_relative_improvement,minimum_relative_improvement,maximum_relative_improvement,both_zero,baseline_zero_flow_nonzero,baseline_nonzero_flow_zero
0.25,Marconi-style,105,0.3609255658357357,0.35253786242131396,0.07832832663767145,0.630342369697343,0.7712501349589667,0.0,0.9161094628417924,0,0,0
0.5,Marconi-style,105,0.3792341482725642,0.37597196430977425,0.12202163622680474,0.630342369697343,0.7712501349589667,0.0,0.9161094628417924,0,0,0
0.75,Marconi-style,105,0.4001721040495669,0.3794096994408304,0.13989137497251108,0.6475002209537535,0.7923762568728203,0.0,0.9161094628417924,0,0,0
1.0,Marconi-style,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,99
