segment,budget_ratio,snapshot_count,flowstate_mean_cost_ms,marconi_mean_cost_ms,flow_vs_marconi_relative_cost_reduction,win_count,tie_count,loss_count
claude,0.25,67,3510.3449781141526,4974.680424265411,0.2943576916033738,60,7,0
claude,0.5,67,2883.177757845343,4483.1810853383195,0.3568901851244838,61,6,0
claude,0.75,67,2271.194427574632,3930.97991400585,0.4222319937371087,64,3,0
claude,1.0,67,0.0,2715.9770612012185,1.0,63,4,0
codex,0.25,38,1935.617065023574,3884.5161644804757,0.5017096124550564,35,3,0
codex,0.5,38,1935.617065023574,3884.5161644804757,0.5017096124550564,35,3,0
codex,0.75,38,1919.1882756064301,3799.989751714863,0.49494909170732976,35,3,0
codex,1.0,38,0.0,2676.9438734098258,1.0,36,2,0
