cohort,snapshot_id,provider,concurrency_bucket,x,candidate_count,pending_count,budget_ratio,budget_k,policy,selected_checkpoint_ids,selected_count,total_recovery_gap_tokens,mean_recovery_gap_tokens,total_formal_recovery_cost_ms,mean_formal_recovery_cost_ms,executable_hit_count,executable_hit_ratio,selection_overhead_ms,continuation_results
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.75,1,Marconi-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000190""]",1,55925,27962.5,2610.1587556509526,1305.0793778254763,0,0.0,0.028820009902119637,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 43789, ""executable_hit"": false, ""formal_recovery_cost_ms"": 318.4958421762498, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 6068, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,0.75,1,FlowState,"[""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003""]",1,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.04599406383931637,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,1.0,2,Global-LRU,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193"", ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003""]",2,0,0.0,0.0,0.0,2,1.0,0.010972842574119568,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,1.0,2,KVFlow-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193"", ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003""]",2,0,0.0,0.0,0.0,2,1.0,0.02735503949224949,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,1.0,2,Marconi-style,"[""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000190"", ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",2,49857,24928.5,2291.6629134747027,1145.8314567373513,1,0.5,0.028763199225068092,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 2291.6629134747027, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 49857, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-199274,claude,Small,2,8,2,1.0,2,FlowState,"[""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:checkpoint:round:00000003"", ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:checkpoint:round:00000193""]",2,0,0.0,0.0,0.0,2,1.0,0.07622689008712769,"[{""continuation_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001:pending:round:00000003"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:aeb6f7dc-2e32-d5ca-b1d0-2d9779b1d198:run:000001""}, {""continuation_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017:pending:round:00000193"", ""executable_frontier_tokens"": 49857, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 49857, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:b8f1bd24-225b-8b72-28d0-d906086d3483:run:000017""}]"
main,c128-small-claude-round-76189,claude,Small,2,4,2,0.25,1,Global-LRU,"[""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:checkpoint:round:00000005""]",1,40965,20482.5,1817.0204036639757,908.5102018319878,1,0.5,0.009977957233786583,"[{""continuation_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:pending:round:00000005"", ""executable_frontier_tokens"": 40965, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002""}, {""continuation_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010:pending:round:00000154"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 1817.0204036639757, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 40965, ""workflow_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010""}]"
main,c128-small-claude-round-76189,claude,Small,2,4,2,0.25,1,KVFlow-style,"[""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:checkpoint:round:00000005""]",1,40965,20482.5,1817.0204036639757,908.5102018319878,1,0.5,0.019036000594496727,"[{""continuation_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:pending:round:00000005"", ""executable_frontier_tokens"": 40965, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002""}, {""continuation_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010:pending:round:00000154"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 1817.0204036639757, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 40965, ""workflow_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010""}]"
main,c128-small-claude-round-76189,claude,Small,2,4,2,0.25,1,Marconi-style,"[""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:checkpoint:round:00000004""]",1,41412,20706.0,1839.545283355729,919.7726416778645,0,0.0,0.01971307210624218,"[{""continuation_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:pending:round:00000005"", ""executable_frontier_tokens"": 40518, ""executable_hit"": false, ""formal_recovery_cost_ms"": 22.524879691753302, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 447, ""workflow_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002""}, {""continuation_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010:pending:round:00000154"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 1817.0204036639757, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 40965, ""workflow_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010""}]"
main,c128-small-claude-round-76189,claude,Small,2,4,2,0.25,1,FlowState,"[""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:checkpoint:round:00000005""]",1,40965,20482.5,1817.0204036639757,908.5102018319878,1,0.5,0.02809707075357437,"[{""continuation_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002:pending:round:00000005"", ""executable_frontier_tokens"": 40965, ""executable_hit"": true, ""formal_recovery_cost_ms"": 0.0, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 0, ""workflow_id"": ""claude:claude:f3e31cff-608e-9b83-c000-5f124105cc8f:run:000002""}, {""continuation_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010:pending:round:00000154"", ""executable_frontier_tokens"": 0, ""executable_hit"": false, ""formal_recovery_cost_ms"": 1817.0204036639757, ""planning_target_tokens"": 40965, ""recovery_gap_tokens"": 40965, ""workflow_id"": ""claude:claude:ff8c91c4-8437-4845-0a15-871d2f5d713c:run:000010""}]"
