snapshot_id,budget_ratio,marconi_cost_ms,flowstate_cost_ms,relative_improvement,zero_category
c128-large-claude-round-241396,0.25,4685.3989164550585,1386.503474640297,0.7040799514912347,none
c128-large-claude-round-241396,0.5,4685.3989164550585,1386.503474640297,0.7040799514912347,none
c128-large-claude-round-241396,0.75,4685.3989164550585,1386.503474640297,0.7040799514912347,none
c128-large-claude-round-241396,1.0,4685.3989164550585,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-241405,0.25,3385.6470675749615,1218.2465269250952,0.6401732068907912,none
c128-large-claude-round-241405,0.5,3385.6470675749615,1218.2465269250952,0.6401732068907912,none
c128-large-claude-round-241405,0.75,3385.6470675749615,1218.2465269250952,0.6401732068907912,none
c128-large-claude-round-241405,1.0,3385.6470675749615,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-241491,0.25,3298.895441814761,1124.6873560865974,0.6590715359357089,none
c128-large-claude-round-241491,0.5,3298.895441814761,1124.6873560865974,0.6590715359357089,none
c128-large-claude-round-241491,0.75,3298.895441814761,1124.6873560865974,0.6590715359357089,none
c128-large-claude-round-241491,1.0,3298.895441814761,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-241509,0.25,3298.895441814761,2239.369187669104,0.32117606418068195,none
c128-large-claude-round-241509,0.5,3298.895441814761,2239.369187669104,0.32117606418068195,none
c128-large-claude-round-241509,0.75,3298.895441814761,2239.369187669104,0.32117606418068195,none
c128-large-claude-round-241509,1.0,136.27347728764335,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-519609,0.25,2904.8923101046325,2779.2804588475706,0.043241482935571375,none
c128-large-claude-round-519609,0.5,2904.8923101046325,2779.2804588475706,0.043241482935571375,none
c128-large-claude-round-519609,0.75,2904.8923101046325,2779.2804588475706,0.043241482935571375,none
c128-large-claude-round-519609,1.0,2904.8923101046325,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-94352,0.25,2895.239995082528,1287.8337757050888,0.5551892838270979,none
c128-large-claude-round-94352,0.5,2895.239995082528,1287.8337757050888,0.5551892838270979,none
c128-large-claude-round-94352,0.75,2895.239995082528,1287.8337757050888,0.5551892838270979,none
c128-large-claude-round-94352,1.0,2895.239995082528,0.0,1.0,baseline_nonzero_flow_zero
c128-large-claude-round-94422,0.25,1407.951649000758,1287.8337757050888,0.08531391925349027,none
c128-large-claude-round-94422,0.5,1407.951649000758,1287.8337757050888,0.08531391925349027,none
c128-large-claude-round-94422,0.75,1407.951649000758,1287.8337757050888,0.08531391925349027,none
c128-large-claude-round-94422,1.0,1407.951649000758,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-131919,0.25,2580.8252102500223,2504.5830535230048,0.029541774632475582,none
c128-medium-claude-round-131919,0.5,2580.8252102500223,2504.5830535230048,0.029541774632475582,none
c128-medium-claude-round-131919,0.75,2580.8252102500223,2504.5830535230048,0.029541774632475582,none
c128-medium-claude-round-131919,1.0,2504.5830535230048,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-136048,0.25,6603.494897763978,1327.1107179155845,0.7990290386436188,none
c128-medium-claude-round-136048,0.5,6603.494897763978,1327.1107179155845,0.7990290386436188,none
c128-medium-claude-round-136048,0.75,6603.494897763978,1327.1107179155845,0.7990290386436188,none
c128-medium-claude-round-136048,1.0,5294.732034894537,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-18026,0.25,5915.358511421153,2160.748608979885,0.6347222903213741,none
c128-medium-claude-round-18026,0.5,5915.358511421153,2160.748608979885,0.6347222903213741,none
c128-medium-claude-round-18026,0.75,1293.9852157199334,1071.2466295262577,0.17213379526113892,none
c128-medium-claude-round-18026,1.0,1071.2466295262577,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-18027,0.25,7104.995330312072,7104.995330312072,0.0,none
c128-medium-claude-round-18027,0.5,6013.702162600101,2260.8834484171766,0.6240446587997209,none
c128-medium-claude-round-18027,0.75,5915.358511421153,1071.2466295262577,0.8189041919508455,none
c128-medium-claude-round-18027,1.0,1293.9852157199334,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-182500,0.25,10735.761478603432,3335.7167857064796,0.6892892234654594,none
c128-medium-claude-round-182500,0.5,10735.761478603432,3335.7167857064796,0.6892892234654594,none
c128-medium-claude-round-182500,0.75,10735.761478603432,3335.7167857064796,0.6892892234654594,none
c128-medium-claude-round-182500,1.0,10735.761478603432,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-219819,0.25,2641.4332242731152,1321.2302722396446,0.4998055373505691,none
c128-medium-claude-round-219819,0.5,2641.4332242731152,1321.2302722396446,0.4998055373505691,none
c128-medium-claude-round-219819,0.75,2641.4332242731152,1321.2302722396446,0.4998055373505691,none
c128-medium-claude-round-219819,1.0,431.697791540209,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-224917,0.25,3941.800535618763,1468.280798370793,0.6275101225688199,none
c128-medium-claude-round-224917,0.5,3941.800535618763,1468.280798370793,0.6275101225688199,none
c128-medium-claude-round-224917,0.75,3941.800535618763,1468.280798370793,0.6275101225688199,none
c128-medium-claude-round-224917,1.0,3941.800535618763,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-236808,0.25,2510.068056192652,1932.5773753744147,0.23006973033798644,none
c128-medium-claude-round-236808,0.5,2510.068056192652,1932.5773753744147,0.23006973033798644,none
c128-medium-claude-round-236808,0.75,2510.068056192652,1932.5773753744147,0.23006973033798644,none
c128-medium-claude-round-236808,1.0,379.35095643081434,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-239410,0.25,7612.3329848471285,4065.0225246819,0.4659951774608906,none
c128-medium-claude-round-239410,0.5,7612.3329848471285,4065.0225246819,0.4659951774608906,none
c128-medium-claude-round-239410,0.75,5256.179712192229,1089.2235578773955,0.7927727708109307,none
c128-medium-claude-round-239410,1.0,5256.179712192229,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-241503,0.25,3404.950173999446,1258.6658126192544,0.630342369697343,none
c128-medium-claude-round-241503,0.5,3404.950173999446,1258.6658126192544,0.630342369697343,none
c128-medium-claude-round-241503,0.75,3404.950173999446,1258.6658126192544,0.630342369697343,none
c128-medium-claude-round-241503,1.0,3298.895441814761,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-244718,0.25,5984.984507802716,3738.0218332893364,0.3754333317962611,none
c128-medium-claude-round-244718,0.5,5984.984507802716,3738.0218332893364,0.3754333317962611,none
c128-medium-claude-round-244718,0.75,1744.722997524313,997.1881399302011,0.4284547510721368,none
c128-medium-claude-round-244718,1.0,1744.722997524313,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-255147,0.25,11548.178486000063,5654.952697852925,0.5103164793730489,none
c128-medium-claude-round-255147,0.5,11548.178486000063,5654.952697852925,0.5103164793730489,none
c128-medium-claude-round-255147,0.75,11548.178486000063,5654.952697852925,0.5103164793730489,none
c128-medium-claude-round-255147,1.0,11548.178486000063,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-256527,0.25,6721.528282751907,5654.952697852925,0.15868051729186625,none
c128-medium-claude-round-256527,0.5,6721.528282751907,5654.952697852925,0.15868051729186625,none
c128-medium-claude-round-256527,0.75,6721.528282751907,5654.952697852925,0.15868051729186625,none
c128-medium-claude-round-256527,1.0,5654.952697852925,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-38880,0.25,5219.935627591711,5219.935627591711,0.0,none
c128-medium-claude-round-38880,0.5,3479.957085061141,3479.957085061141,0.0,none
c128-medium-claude-round-38880,0.75,1739.9785425305704,1739.9785425305704,0.0,none
c128-medium-claude-round-38880,1.0,0.0,0.0,,both_zero
c128-medium-claude-round-501399,0.25,4652.9918763656,1286.3961366496371,0.7235335519961349,none
c128-medium-claude-round-501399,0.5,4652.9918763656,1286.3961366496371,0.7235335519961349,none
c128-medium-claude-round-501399,0.75,4652.9918763656,1286.3961366496371,0.7235335519961349,none
c128-medium-claude-round-501399,1.0,4652.9918763656,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508524,0.25,7380.219779094254,7247.920338758269,0.017926219583696598,none
c128-medium-claude-round-508524,0.5,4745.650524262912,4348.752203254962,0.08363412328378211,none
c128-medium-claude-round-508524,0.75,3428.365896847242,2899.168135503308,0.15435860035551902,none
c128-medium-claude-round-508524,1.0,793.7966420159009,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508566,0.25,6344.956459812937,6284.027782212925,0.009602694358253948,none
c128-medium-claude-round-508566,0.5,3953.2027021277927,3770.416669327755,0.046237455190864404,none
c128-medium-claude-round-508566,0.75,2757.3258232852204,2513.61111288517,0.08838807091346072,none
c128-medium-claude-round-508566,1.0,365.5720656000757,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508588,0.25,11619.710722167356,11478.940113206736,0.012114811833660075,none
c128-medium-claude-round-508588,0.5,7309.675894805904,6887.364067924042,0.05777435729837873,none
c128-medium-claude-round-508588,0.75,5154.658481125178,4591.576045282694,0.10923758342173848,none
c128-medium-claude-round-508588,1.0,844.6236537637246,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508613,0.25,5887.592331325325,5819.654426105545,0.011539165994614122,none
c128-medium-claude-round-508613,0.5,3695.6063713226667,3491.7926556633274,0.055150277161794665,none
c128-medium-claude-round-508613,0.75,2599.613391321337,2327.861770442218,0.10453539814279555,none
c128-medium-claude-round-508613,1.0,407.62743131867876,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508661,0.25,5473.740097280594,5473.740097280594,0.0,none
c128-medium-claude-round-508661,0.5,3284.2440583683565,3284.2440583683565,0.0,none
c128-medium-claude-round-508661,0.75,3284.2440583683565,2189.4960389122375,0.33333333333333337,none
c128-medium-claude-round-508661,1.0,1094.7480194561188,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508707,0.25,18110.27666268012,17927.331905132603,0.010101709706318927,none
c128-medium-claude-round-508707,0.5,11305.233415722108,10756.399143079563,0.048546920922418586,none
c128-medium-claude-round-508707,0.75,7902.711792243103,7170.932762053042,0.09259847118660434,none
c128-medium-claude-round-508707,1.0,1097.6685452850925,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508899,0.25,10220.178522169,9780.300347515928,0.043040165462757386,none
c128-medium-claude-round-508899,0.5,7187.814732468777,5868.180208509557,0.18359328573094277,none
c128-medium-claude-round-508899,0.75,5671.632837618665,3912.120139006371,0.3102303602838748,none
c128-medium-claude-round-508899,1.0,3715.5727681154794,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-508916,0.25,15881.759543419537,15434.70660850162,0.028148829082552767,none
c128-medium-claude-round-508916,0.5,10601.982769854725,9260.823965100972,0.1265007531013117,none
c128-medium-claude-round-508916,0.75,7962.094383072319,6173.882643400648,0.2245906232251491,none
c128-medium-claude-round-508916,1.0,4875.153061371995,0.0,1.0,baseline_nonzero_flow_zero
c128-medium-claude-round-511247,0.25,1436.8002945448065,1338.7428408961762,0.06824710018569143,none
c128-medium-claude-round-511247,0.5,1436.8002945448065,1338.7428408961762,0.06824710018569143,none
