model,subset,point_count,mae_ms,mape_percent,max_absolute_error_ms,max_relative_error_percent,r_squared
M0,position_matrix,16,161.97332652083335,18.79480993259196,509.89501879166664,37.982804878686025,0.8964987180474967
M0,long_gap,4,0.0,0.0,0.0,0.0,1.0
M0,combined,20,129.5786612166667,15.035847946073568,509.89501879166664,37.982804878686025,0.9913805142935489
M1,position_matrix,16,80.86012542242219,8.235161442193917,323.81470120789027,15.629292053392932,0.9710412357955013
M1,long_gap,4,362.2567484111813,7.03201822924447,570.9407245851053,11.28051323406189,0.9420741949799677
M1,combined,20,137.13945002017402,7.994532799604029,570.9407245851053,15.629292053392932,0.9904705436508489
M2,position_matrix,16,18.248134030309036,4.010977975279424,31.979275736332966,10.971955269213508,0.9991948920971025
M2,long_gap,4,18.58980982650121,0.34104830180167717,23.812041703591603,0.40570398230197097,0.9998700083524772
M2,combined,20,18.31646918954747,3.2769920405838744,31.979275736332966,10.971955269213508,0.9999169783049487
