target_tokens,target_ki,executable_frontier_tokens,gap_tokens,gap_ki,recovery_fraction,warmup_count,measured_count,baseline_mean_ms,mean_latency_ms,median_latency_ms,std_latency_ms,measured_phi_ms
49152,48.0,49152,0,0.0,0.0,2,12,37.16335041666667,37.16335041666667,37.126727,1.1265425797264874,0.0
49152,48.0,43008,6144,6.0,0.125,2,12,37.16335041666667,333.87971216666665,334.9046355,3.5190848931275993,296.71636175
49152,48.0,36864,12288,12.0,0.25,2,12,37.16335041666667,639.2199575000001,641.4146235000001,6.022483097748235,602.0566070833335
49152,48.0,24576,24576,24.0,0.5,2,12,37.16335041666667,1263.4592841666665,1263.836032,7.688133206701172,1226.29593375
49152,48.0,12288,36864,36.0,0.75,2,12,37.16335041666667,1875.1092329166668,1875.4022525,6.746424614951505,1837.9458825000002
81920,80.0,81920,0,0.0,0.0,2,12,39.83443925,39.83443925,39.588739000000004,1.1240863463374173,0.0
81920,80.0,71680,10240,10.0,0.125,2,12,39.83443925,650.7374735833333,650.438198,2.142045930108246,610.9030343333334
81920,80.0,61440,20480,20.0,0.25,2,12,39.83443925,1277.2183215,1278.5637419999998,8.81027804128107,1237.38388225
81920,80.0,40960,40960,40.0,0.5,2,12,39.83443925,2441.7158773333335,2440.9607775,8.025383356763415,2401.8814380833337
81920,80.0,20480,61440,60.0,0.75,2,12,39.83443925,3457.8975963333337,3459.9056835,12.063700103135547,3418.063157083334
114688,112.0,114688,0,0.0,0.0,2,12,40.89754466666667,40.89754466666667,40.821340500000005,0.632646871850946,0.0
114688,112.0,100352,14336,14.0,0.125,2,12,40.89754466666667,1044.6344715,1046.1163350000002,9.573835581088652,1003.7369268333333
114688,112.0,86016,28672,28.0,0.25,2,12,40.89754466666667,2047.200016,2049.1698834999997,9.999225157399769,2006.3024713333334
114688,112.0,57344,57344,56.0,0.5,2,12,40.89754466666667,3863.960668,3865.269377,11.294075596019301,3823.0631233333334
114688,112.0,28672,86016,84.0,0.75,2,12,40.89754466666667,5403.7903025000005,5404.40137,17.48058392579696,5362.892757833334
