source,case_id,target_H,target_E,target_gap,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
Step 10D.3 独立留出测量,heldout_measured_r08_p08_t81920_g0,81920,81920,0,8,False,8,158,PASS,True,True,81920,81920,0,42.150322,42.855481,81984,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.040832352824509144, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p08_t81920_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760146.3420975, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p09_t114688_g86016,114688,28672,86016,8,False,9,159,PASS,True,True,114688,28672,86016,5422.965314,5423.92536,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_73728"", ""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 28672, ""cached_tokens_details"": {""device"": 28672, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 5.422062285011634, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p09_t114688_g86016_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760160.169721, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p10_t114688_g14336,114688,100352,14336,8,False,10,160,PASS,True,True,114688,100352,14336,1048.158795,1048.800218,114752,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 100352, ""cached_tokens_details"": {""device"": 100352, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.0469049238599837, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p10_t114688_g14336_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760168.8230662, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p11_t114688_g0,114688,114688,0,8,False,11,161,PASS,True,True,114688,114688,0,40.75074,41.722833,114752,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 276650, ""before_available_size"": 276650}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 114688, ""cached_tokens_details"": {""device"": 114688, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.03993921307846904, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p11_t114688_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 114752, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760176.7724369, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p12_t49152_g24576,49152,24576,24576,8,False,12,162,PASS,True,True,49152,24576,24576,1258.28161,1258.782351,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 24576, ""cached_tokens_details"": {""device"": 24576, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.2572312061674893, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p12_t49152_g24576_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760181.1165502, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p13_t49152_g12288,49152,36864,12288,8,False,13,163,PASS,True,True,49152,36864,12288,638.324561,638.840423,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 36864, ""cached_tokens_details"": {""device"": 36864, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.6376824539620429, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p13_t49152_g12288_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760184.3911588, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r08_p14_t49152_g36864,49152,12288,36864,8,False,14,164,PASS,True,True,49152,12288,36864,1869.802308,1870.326167,49216,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 12288, ""cached_tokens_details"": {""device"": 12288, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.8687944491393864, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r08_p14_t49152_g36864_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760189.2837768, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r09_p00_t49152_g0,49152,49152,0,9,False,0,165,PASS,True,True,49152,49152,0,36.238243,36.712776,49216,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 342186, ""before_available_size"": 342186}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 49152, ""cached_tokens_details"": {""device"": 49152, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.03566286503337324, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r09_p00_t49152_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 49216, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760191.874768, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r09_p01_t81920_g61440,81920,20480,61440,9,False,1,166,PASS,True,True,81920,20480,61440,3466.27846,3466.92921,81984,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_CLEANUP_65536"", ""PROFILE_DEEP""]","{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 20480, ""cached_tokens_details"": {""device"": 20480, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 3.464965014019981, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r09_p01_t81920_g61440_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760201.269195, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r09_p02_t81920_g40960,81920,40960,40960,9,False,2,167,PASS,True,True,81920,40960,40960,2435.854543,2436.603684,81984,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 40960, ""cached_tokens_details"": {""device"": 40960, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 2.4346517301164567, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r09_p02_t81920_g40960_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760209.0730014, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r09_p03_t81920_g20480,81920,61440,20480,9,False,3,168,PASS,True,True,81920,61440,20480,1276.535406,1277.260156,81984,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 61440, ""cached_tokens_details"": {""device"": 61440, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.275208625011146, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r09_p03_t81920_g20480_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760215.4754145, ""weight_version"": ""default""}"
Step 10D.3 独立留出测量,heldout_measured_r09_p04_t81920_g10240,81920,71680,10240,9,False,4,169,PASS,True,True,81920,71680,10240,647.267909,648.006763,81984,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 309418, ""before_available_size"": 309418}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 71680, ""cached_tokens_details"": {""device"": 71680, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.64594029285945, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d3_heldout_measured_r09_p04_t81920_g10240_target"", ""num_retractions"": 0, ""prompt_tokens"": 81984, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787760221.2301755, ""weight_version"": ""default""}"
