snapshot_id,allocation_round,lru_ttft_rep1_ms,lru_ttft_rep2_ms,lru_ttft_rep3_ms,lru_mean_ttft_ms,lru_g_rep1_tokens,lru_g_rep2_tokens,lru_g_rep3_tokens,lru_mean_g_tokens,marconi_ttft_rep1_ms,marconi_ttft_rep2_ms,marconi_ttft_rep3_ms,marconi_mean_ttft_ms,marconi_g_rep1_tokens,marconi_g_rep2_tokens,marconi_g_rep3_tokens,marconi_mean_g_tokens,flowstate_ttft_rep1_ms,flowstate_ttft_rep2_ms,flowstate_ttft_rep3_ms,flowstate_mean_ttft_ms,flowstate_g_rep1_tokens,flowstate_g_rep2_tokens,flowstate_g_rep3_tokens,flowstate_mean_g_tokens,lru_minus_flowstate_ttft_ms,lru_minus_flowstate_ttft_relative,marconi_minus_flowstate_ttft_ms,marconi_minus_flowstate_ttft_relative,lru_minus_flowstate_g_tokens,marconi_minus_flowstate_g_tokens
rq3-openhands-main-g016-round2,2,143.42130025,141.818419,140.2766495,141.83878958333332,2976.0,2976.0,2976.0,2976.0,112.68860225,111.1244025,110.92275775,111.57858750000001,2208.0,2208.0,2208.0,2208.0,105.5591665,106.87609,104.64542700000001,105.69356116666667,1904.0,1904.0,1904.0,1904.0,36.145228416666654,0.2548331702691989,5.885026333333343,0.05274333064427207,1072.0,304.0
rq3-openhands-main-g156-round2,2,141.094188,139.937351,141.01755525000002,140.6830314166667,2880.0,2880.0,2880.0,2880.0,115.71047575,112.575654,113.03911624999999,113.775082,2144.0,2144.0,2144.0,2144.0,109.00106825,107.31340325,108.35413825,108.22286991666665,1920.0,1920.0,1920.0,1920.0,32.46016150000004,0.23073259918505346,5.552212083333345,0.04879989524712753,960.0,224.0
rq3-openhands-main-g112-round2,2,146.792066,148.5563385,146.59593225,147.31477891666668,3120.0,3120.0,3120.0,3120.0,116.90928375,116.25607500000001,117.08886650000001,116.75140841666666,2272.0,2272.0,2272.0,2272.0,117.42687175,115.21143000000001,112.9281635,115.18882175,2032.0,2032.0,2032.0,2032.0,32.12595716666668,0.21807694654206933,1.562586666666661,0.013383878514681768,1088.0,240.0
rq3-openhands-main-g176-round2,2,164.68260275,161.89944425,163.32406724999998,163.30203808333331,2992.0,2992.0,2992.0,2992.0,134.32607,132.3297755,131.46758975,132.70781175,2208.0,2208.0,2208.0,2208.0,126.57308825,126.156919,127.40594,126.71198241666667,1936.0,1936.0,1936.0,1936.0,36.59005566666664,0.22406368038098015,5.995829333333319,0.045180681184228175,1056.0,272.0
rq3-openhands-main-g172-round2,2,171.24085399999998,170.04819125,172.3441025,171.21104925,3216.0,3216.0,3216.0,3216.0,145.54021825,141.19859775,141.614139,142.78431833333335,2432.0,2432.0,2432.0,2432.0,127.06334425,126.64019925,126.3954885,126.69967733333333,1984.0,1984.0,1984.0,1984.0,44.511371916666675,0.25997955220560437,16.08464100000002,0.11264991273376426,1232.0,448.0
rq3-openhands-main-g184-round2,2,218.94898775000001,220.97245400000003,218.84483125,219.58875766666668,3136.0,3136.0,3136.0,3136.0,192.1826445,191.69331775,191.78376125,191.88657450000002,2384.0,2384.0,2384.0,2384.0,275.97194925,180.423606,180.1045775,212.1667109166667,1952.0,1952.0,1952.0,1952.0,7.422046749999993,0.03379975745965364,-20.280136416666664,-0.10568814660176584,1184.0,432.0
rq3-openhands-main-g037-round3,3,125.48484350000001,123.398025,123.33238475,124.07175108333335,2192.0,2192.0,2192.0,2192.0,124.97141625,125.53947099999999,126.29696224999999,125.6026165,2432.0,2432.0,2432.0,2432.0,84.525465,81.25852575,82.15430575,82.64609883333334,1088.0,1088.0,1088.0,1088.0,41.42565225000001,0.3338846424612504,42.956517666666656,0.34200336636033896,1104.0,1344.0
rq3-openhands-main-g157-round3,3,146.0240645,146.1038375,145.35134925,145.82641708333333,2192.0,2192.0,2192.0,2192.0,151.343569,152.85032325,153.2978305,152.49724091666667,2416.0,2416.0,2416.0,2416.0,104.2806735,105.73050024999999,102.634438,104.21520391666667,1088.0,1088.0,1088.0,1088.0,41.61121316666666,0.2853475659549922,48.282037,0.3166092495167444,1104.0,1328.0
rq3-openhands-main-g177-round3,3,164.66283425,162.9570065,165.01879075,164.21287716666666,2496.0,2496.0,2496.0,2496.0,170.2412725,170.863773,170.05200675,170.38568408333333,2688.0,2688.0,2688.0,2688.0,115.31558975,114.19629450000001,112.92231075,114.14473166666666,1088.0,1088.0,1088.0,1088.0,50.0681455,0.30489780316791903,56.24095241666667,0.3300802688866747,1408.0,1600.0
rq3-openhands-main-g165-round3,3,136.8424675,135.891194,136.60786275,136.44717475000002,2576.0,2576.0,2576.0,2576.0,177.98618625,174.741172,175.887788,176.20504874999997,3680.0,3680.0,3680.0,3680.0,83.63148375,83.828781,82.9709135,83.47705941666668,1104.0,1104.0,1104.0,1104.0,52.97011533333334,0.38820968943025574,92.7279893333333,0.5262504677995687,1472.0,2576.0
