target_position,executable_frontier,gap_tokens,warmup_count,valid_measured_count,failure_count,mismatch_count,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,position_baseline_mean_ms,measured_phi_ms
32768,32768,0,2,12,0,0,35.935815749999996,35.9832045,0.6483349366550276,36.86037,34.72902,36.86037,35.935815749999996,0.0
32768,28672,4096,2,12,0,0,209.9419946666667,210.144854,1.6199214918806322,211.900253,206.385105,211.900253,35.935815749999996,174.0061789166667
32768,24576,8192,2,12,0,0,400.1248944166667,399.883827,1.063450345123697,401.603729,398.740853,401.603729,35.935815749999996,364.18907866666666
32768,16384,16384,2,12,0,0,754.389325,754.6448505000001,4.113030124596747,760.44888,746.236026,760.44888,35.935815749999996,718.45350925
32768,0,32768,2,12,0,0,1472.7426457499998,1473.439541,5.014728012141691,1479.677376,1464.691908,1479.677376,35.935815749999996,1436.8068299999998
65536,65536,0,2,12,0,0,37.71565841666666,37.487811,1.2207060523863351,40.259095,35.983222,40.259095,37.71565841666666,0.0
65536,61440,4096,2,12,0,0,255.05265416666666,255.9940245,2.592272442003692,256.857375,247.229579,256.857375,37.71565841666666,217.33699575
65536,57344,8192,2,12,0,0,488.4603490833333,489.11058149999997,2.744491952755266,491.198888,481.054414,491.198888,37.71565841666666,450.74469066666666
65536,49152,16384,2,12,0,0,943.1414285833333,944.818419,6.025639255859634,950.088037,927.551899,950.088037,37.71565841666666,905.4257701666667
65536,32768,32768,2,12,0,0,1801.04449,1798.2716575,7.294032735819658,1814.134258,1791.270291,1814.134258,37.71565841666666,1763.3288315833333
98304,98304,0,2,12,0,0,39.04974175,38.7497105,0.7018875539493005,40.477507,38.206188,40.477507,39.04974175,0.0
98304,94208,4096,2,12,0,0,298.0076706666667,298.4113575,2.434158458883039,301.17481,294.098367,301.17481,39.04974175,258.9579289166667
98304,90112,8192,2,12,0,0,576.8567473333334,578.027133,3.297312958823755,581.389389,570.920508,581.389389,39.04974175,537.8070055833334
98304,81920,16384,2,12,0,0,1120.7843291666666,1119.849027,10.295606358329456,1146.660799,1106.007667,1146.660799,39.04974175,1081.7345874166665
98304,65536,32768,2,12,0,0,2147.96514375,2147.588768,6.7768324058468155,2163.391123,2136.707728,2163.391123,39.04974175,2108.915402
131072,131072,0,2,12,0,0,41.55412366666666,41.60586,0.4309697044280349,42.164308,40.586801,42.164308,41.55412366666666,0.0
131072,126976,4096,2,12,0,0,343.799549,343.824433,3.2732281326077666,347.383193,336.389176,347.383193,41.55412366666666,302.24542533333334
131072,122880,8192,2,12,0,0,664.4598224166667,665.5128090000001,4.21635267124524,670.824104,657.945736,670.824104,41.55412366666666,622.90569875
131072,114688,16384,2,12,0,0,1301.3094720833333,1301.8004365,6.5773180491507555,1311.14321,1292.630224,1311.14321,41.55412366666666,1259.7553484166667
131072,98304,32768,2,12,0,0,2491.0978365833334,2489.7083430000002,9.221664518461395,2506.628288,2477.986363,2506.628288,41.55412366666666,2449.5437129166667
