gap_tokens,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,legacy_measured_phi_ms,historical_phi_ms,absolute_error_ms,relative_error
0,35.81287341666667,35.30095,1.3689391298804052,39.401609,34.59665,39.401609,0.0,0.0,0.0,
4096,207.39584458333331,207.593778,1.5745428427988213,209.836449,204.817345,209.836449,171.58297116666665,178.29062366666668,6.707652500000023,0.03762201489934038
8192,393.14856625,393.09081349999997,2.729311297187407,397.062885,389.359201,397.062885,357.3356928333333,361.98141875,4.645725916666663,0.012834155777137285
16384,746.9727188333333,748.650956,5.6143490440898,755.509903,736.257849,755.509903,711.1598454166666,734.0014209999999,22.841575583333338,0.0311192525379775
32768,1445.3861515833332,1446.316394,11.417275144790546,1463.27698,1428.507052,1463.27698,1409.5732781666666,1513.6520456666667,104.07876750000014,0.0687600349089213
