source,case_id,target_H,target_E,target_gap,repetition,is_warmup,gap_order_position,execution_order_position,status,correctness_pass,gap_match,runtime_H,runtime_E,runtime_G,ttft_ms,request_latency_ms,request_input_tokens,failure_stage,error,fa_preserved,safety_pass,selected_checkpoint_ids,evicted_checkpoint_ids,fa_allocator,safety,server_metadata
Step 10D.2 新测量,position_measured_r08_p07_t32768_g4096,32768,28672,4096,8,False,7,207,PASS,True,True,32768,28672,4096,208.763415,209.173834,32832,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 345463, ""before_available_size"": 345463}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 28672, ""cached_tokens_details"": {""device"": 28672, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.2078930069692433, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p07_t32768_g4096_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757147.8945765, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p08_t131072_g8192,131072,122880,8192,8,False,8,208,PASS,True,True,131072,122880,8192,663.624977,664.166558,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 247159, ""before_available_size"": 247159}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 122880, ""cached_tokens_details"": {""device"": 122880, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.6627056440338492, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p08_t131072_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757158.0625017, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p09_t131072_g0,131072,131072,0,8,False,9,209,PASS,True,True,131072,131072,0,41.678694,42.654237,131136,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 247159, ""before_available_size"": 247159}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 131072, ""cached_tokens_details"": {""device"": 131072, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.04084251308813691, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p09_t131072_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757167.0473843, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p10_t98304_g8192,98304,90112,8192,8,False,10,210,PASS,True,True,98304,90112,8192,578.691245,579.493803,98368,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 279927, ""before_available_size"": 279927}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 90112, ""cached_tokens_details"": {""device"": 90112, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.5775857840199023, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p10_t98304_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 98368, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757173.9770613, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p11_t65536_g8192,65536,57344,8192,8,False,11,211,PASS,True,True,65536,57344,8192,487.321923,487.942299,65600,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 312695, ""before_available_size"": 312695}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 57344, ""cached_tokens_details"": {""device"": 57344, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.48613598197698593, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p11_t65536_g8192_target"", ""num_retractions"": 0, ""prompt_tokens"": 65600, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757178.2072093, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p12_t65536_g0,65536,65536,0,8,False,12,212,PASS,True,True,65536,65536,0,38.349342,38.938221,65600,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 312695, ""before_available_size"": 312695}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 65536, ""cached_tokens_details"": {""device"": 65536, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.037239250959828496, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p12_t65536_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 65600, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757182.0291917, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p13_t98304_g16384,98304,81920,16384,8,False,13,213,PASS,True,True,98304,81920,16384,1122.5437,1123.344931,98368,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 279927, ""before_available_size"": 279927}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 81920, ""cached_tokens_details"": {""device"": 81920, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.1210841659922153, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p13_t98304_g16384_target"", ""num_retractions"": 0, ""prompt_tokens"": 98368, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757189.5896108, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p14_t131072_g32768,131072,98304,32768,8,False,14,214,PASS,True,True,131072,98304,32768,2506.628288,2507.651043,131136,,,True,True,"[""PROFILE_SHALLOW""]","[""PROFILE_DEEP""]","{""after_available_size"": 247159, ""before_available_size"": 247159}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 98304, ""cached_tokens_details"": {""device"": 98304, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 2.505572789814323, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p14_t131072_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 131136, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757201.1463475, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p15_t32768_g32768,32768,0,32768,8,False,15,215,PASS,True,True,32768,0,32768,1479.677376,1480.095433,32832,,,True,True,[],"[""PROFILE_DEEP""]","{""after_available_size"": 345463, ""before_available_size"": 345463}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 0, ""cached_tokens_details"": null, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 1.478851584950462, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p15_t32768_g32768_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757204.2974505, ""weight_version"": ""default""}"
Step 10D.2 新测量,position_measured_r08_p16_t32768_g0,32768,32768,0,8,False,16,216,PASS,True,True,32768,32768,0,36.061745,36.437661,32832,,,True,True,"[""PROFILE_DEEP""]",[],"{""after_available_size"": 345463, ""before_available_size"": 345463}","{""allocator_invariant"": true, ""cascade_not_called"": true, ""fa_identity_invariant"": true, ""fa_preserved"": true, ""formal_primitive"": true, ""only_expected_mamba_changed"": true, ""path_invariant"": true, ""sanity_check"": true, ""selected_mamba_resident"": true, ""target_fa_and_mamba_present"": true, ""tree_invariant"": true, ""unselected_mamba_evicted"": true}","{""cached_tokens"": 32768, ""cached_tokens_details"": {""device"": 32768, ""host"": 0}, ""completion_tokens"": 1, ""dp_rank"": null, ""e2e_latency"": 0.03553460002876818, ""finish_reason"": {""length"": 1, ""type"": ""length""}, ""id"": ""flowstate_step10d2_position_measured_r08_p16_t32768_g0_target"", ""num_retractions"": 0, ""prompt_tokens"": 32832, ""reasoning_tokens"": 0, ""response_sent_to_client_ts"": 1787757206.0577025, ""weight_version"": ""default""}"
