workflow_count,budget_checkpoints,budget_ratio,policy_name,selected_checkpoint_ids,total_recovery_gap,mean_recovery_gap_per_request,planning_executable_prefix_ratio,estimated_recovery_cost_ms,selection_runtime_ms
8,8,1.0,Recovery-Only,W08_A32768_F01_MAIN;W08_A32768_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A16384_F01_SHALLOW;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN,20480,1024.0,0.9333333333333333,893.6447801534086,1.0825530625879765
8,8,1.0,Workflow-Only,W08_A04096_F04_MAIN;W08_A08192_F04_MAIN;W08_A16384_F04_MAIN;W08_A32768_F04_MAIN;W08_A04096_F01_MAIN;W08_A08192_F01_MAIN;W08_A16384_F01_MAIN;W08_A32768_F01_MAIN,0,0.0,1.0,0.0,0.6010578945279121
8,8,1.0,KVFlow-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN;W08_A16384_F01_SHALLOW;W08_A16384_F01_MAIN;W08_A08192_F04_MAIN;W08_A08192_F01_SHALLOW,24576,1228.8,0.92,1072.3737361840904,0.13616308569908142
8,8,1.0,Marconi-style,W08_A32768_F04_MAIN;W08_A32768_F01_SHALLOW;W08_A32768_F01_MAIN;W08_A16384_F04_MAIN;W08_A16384_F01_SHALLOW;W08_A16384_F01_MAIN;W08_A08192_F04_MAIN;W08_A08192_F01_SHALLOW,24576,1228.8,0.92,1072.3737361840904,0.06743287667632103
8,8,1.0,Oracle,W08_A04096_F01_MAIN;W08_A04096_F04_MAIN;W08_A08192_F01_MAIN;W08_A08192_F04_MAIN;W08_A16384_F01_MAIN;W08_A16384_F04_MAIN;W08_A32768_F01_MAIN;W08_A32768_F04_MAIN,0,0.0,1.0,0.0,0.0009990762919187546
16,4,0.25,FlowState,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN,331776,5529.6,0.64,15175.77315797098,12.343336129561067
16,4,0.25,Global-LRU,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW,446464,7441.066666666667,0.5155555555555555,20719.63666146621,0.02962886355817318
16,4,0.25,Equal-Share,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN,860160,14336.0,0.06666666666666667,39758.828391786665,0.192347913980484
16,4,0.25,Recovery-Only,W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,430080,7168.0,0.5333333333333333,19947.145355399698,5.3226768504828215
16,4,0.25,Workflow-Only,W16_A04096_F08_MAIN;W16_A08192_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F08_MAIN,430080,7168.0,0.5333333333333333,19805.222608381882,1.4568930491805077
16,4,0.25,KVFlow-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW,446464,7441.066666666667,0.5155555555555555,20719.63666146621,0.4453419242054224
16,4,0.25,Marconi-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW,446464,7441.066666666667,0.5155555555555555,20719.63666146621,0.10453793220221996
16,4,0.25,Oracle,W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,331776,5529.6,0.64,15175.77315797098,0.001168111339211464
16,8,0.5,FlowState,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN,135168,2252.8,0.8533333333333334,6088.70175643824,25.493528926745057
16,8,0.5,Global-LRU,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN,200704,3345.0666666666666,0.7822222222222223,9132.267070468515,0.030035851523280144
16,8,0.5,Equal-Share,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN,737280,12288.0,0.2,34079.98696784489,0.19185198470950127
16,8,0.5,Recovery-Only,W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN,184320,3072.0,0.8,8359.775764402002,5.338885122910142
16,8,0.5,Workflow-Only,W16_A04096_F08_MAIN;W16_A08192_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F08_MAIN;W16_A04096_F04_MAIN;W16_A08192_F04_MAIN;W16_A16384_F04_MAIN;W16_A32768_F04_MAIN,184320,3072.0,0.8,8487.952546449378,2.3976799566298723
16,8,0.5,KVFlow-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN,200704,3345.0666666666666,0.7822222222222223,9132.267070468515,0.433801906183362
16,8,0.5,Marconi-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN,200704,3345.0666666666666,0.7822222222222223,9132.267070468515,0.10335608385503292
16,8,0.5,Oracle,W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN,135168,2252.8,0.8533333333333334,6088.70175643824,0.0011220108717679977
16,12,0.75,FlowState,W16_A32768_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F04_MAIN;W16_A16384_F04_MAIN;W16_A08192_F08_MAIN;W16_A32768_F02_MAIN;W16_A16384_F02_MAIN;W16_A08192_F04_MAIN;W16_A32768_F01_MAIN;W16_A04096_F08_MAIN;W16_A16384_F01_MAIN;W16_A08192_F02_MAIN,36864,614.4,0.96,1629.6921204775572,38.05789793841541
16,12,0.75,Global-LRU,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN,86016,1433.6,0.9066666666666666,3816.702625248581,0.029506860300898552
16,12,0.75,Equal-Share,W16_A04096_F01_MAIN;W16_A04096_F02_MAIN;W16_A04096_F04_MAIN;W16_A04096_F08_MAIN;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN;W16_A08192_F04_MAIN;W16_A08192_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN,491520,8192.0,0.4666666666666667,22492.617376847193,0.19521196372807026
16,12,0.75,Recovery-Only,W16_A32768_F01_MAIN;W16_A32768_F02_MAIN;W16_A32768_F04_MAIN;W16_A32768_F08_MAIN;W16_A16384_F01_MAIN;W16_A16384_F02_MAIN;W16_A16384_F04_MAIN;W16_A16384_F08_MAIN;W16_A32768_F01_SHALLOW;W16_A16384_F01_SHALLOW;W16_A08192_F01_MAIN;W16_A08192_F02_MAIN,159744,2662.4,0.8266666666666667,7224.007479613647,5.345167126506567
16,12,0.75,Workflow-Only,W16_A04096_F08_MAIN;W16_A08192_F08_MAIN;W16_A16384_F08_MAIN;W16_A32768_F08_MAIN;W16_A04096_F04_MAIN;W16_A08192_F04_MAIN;W16_A16384_F04_MAIN;W16_A32768_F04_MAIN;W16_A04096_F02_MAIN;W16_A08192_F02_MAIN;W16_A16384_F02_MAIN;W16_A32768_F02_MAIN,61440,1024.0,0.9333333333333333,2829.317515483126,3.1869460362941027
16,12,0.75,KVFlow-style,W16_A32768_F08_MAIN;W16_A32768_F04_MAIN;W16_A32768_F02_MAIN;W16_A32768_F01_SHALLOW;W16_A32768_F01_MAIN;W16_A16384_F08_MAIN;W16_A16384_F04_MAIN;W16_A16384_F02_MAIN;W16_A16384_F01_SHALLOW;W16_A16384_F01_MAIN;W16_A08192_F08_MAIN;W16_A08192_F04_MAIN,86016,1433.6,0.9066666666666666,3816.702625248581,0.4683260340243578
